sample_id,image_path,domain,condition,task,question,answer,pair_id
synthetic/019_small_low_contrast,synthetic/019_small_low_contrast.png,synthetic,small_low_contrast,code,Read the exact four-character code inside the red outlined box. Answer with only the four characters.,PBSC,
synthetic/020_small_low_contrast,synthetic/020_small_low_contrast.png,synthetic,small_low_contrast,code,Read the exact four-character code inside the red outlined box. Answer with only the four characters.,UYV3,
synthetic/021_small_low_contrast,synthetic/021_small_low_contrast.png,synthetic,small_low_contrast,code,Read the exact four-character code inside the red outlined box. Answer with only the four characters.,3CA4,
synthetic/022_small_low_contrast,synthetic/022_small_low_contrast.png,synthetic,small_low_contrast,code,Read the exact four-character code inside the red outlined box. Answer with only the four characters.,RENR,
synthetic/023_small_low_contrast,synthetic/023_small_low_contrast.png,synthetic,small_low_contrast,code,Read the exact four-character code inside the red outlined box. Answer with only the four characters.,6XFJ,
synthetic/024_multi_region_relation,synthetic/024_multi_region_relation.png,synthetic,multi_region_relation,relation,Add the digit inside the red outlined box to the digit inside the blue outlined box. Answer with only the sum as an integer.,9,
synthetic/025_multi_region_relation,synthetic/025_multi_region_relation.png,synthetic,multi_region_relation,relation,Add the digit inside the red outlined box to the digit inside the blue outlined box. Answer with only the sum as an integer.,11,
synthetic/026_multi_region_relation,synthetic/026_multi_region_relation.png,synthetic,multi_region_relation,relation,Add the digit inside the red outlined box to the digit inside the blue outlined box. Answer with only the sum as an integer.,15,
synthetic/027_multi_region_relation,synthetic/027_multi_region_relation.png,synthetic,multi_region_relation,relation,Add the digit inside the red outlined box to the digit inside the blue outlined box. Answer with only the sum as an integer.,10,
synthetic/028_multi_region_relation,synthetic/028_multi_region_relation.png,synthetic,multi_region_relation,relation,Add the digit inside the red outlined box to the digit inside the blue outlined box. Answer with only the sum as an integer.,12,
synthetic/029_multi_region_relation,synthetic/029_multi_region_relation.png,synthetic,multi_region_relation,relation,Add the digit inside the red outlined box to the digit inside the blue outlined box. Answer with only the sum as an integer.,12,
synthetic/030_multi_region_relation,synthetic/030_multi_region_relation.png,synthetic,multi_region_relation,relation,Add the digit inside the red outlined box to the digit inside the blue outlined box. Answer with only the sum as an integer.,9,
synthetic/031_multi_region_relation,synthetic/031_multi_region_relation.png,synthetic,multi_region_relation,relation,Add the digit inside the red outlined box to the digit inside the blue outlined box. Answer with only the sum as an integer.,12,
imagegen/000_rainy_store_Q7M4,imagegen/000_rainy_store_Q7M4.png,imagegen,naturalistic_small_text,code,Read the exact four-character alphanumeric code printed in the scene. Answer with only the four characters.,Q7M4,
imagegen/001_foggy_bus_stop_K8R2,imagegen/001_foggy_bus_stop_K8R2.png,imagegen,naturalistic_small_text,code,Read the exact four-character alphanumeric code printed in the scene. Answer with only the four characters.,K8R2,
imagegen/002_alley_meter_T3V9,imagegen/002_alley_meter_T3V9.png,imagegen,naturalistic_small_text,code,Read the exact four-character alphanumeric code printed in the scene. Answer with only the four characters.,T3V9,
imagegen/003_parking_sign_M6X5,imagegen/003_parking_sign_M6X5.png,imagegen,naturalistic_small_text,code,Read the exact four-character alphanumeric code printed in the scene. Answer with only the four characters.,M6X5,
imagegen/004_snowy_kiosk_H4N7,imagegen/004_snowy_kiosk_H4N7.png,imagegen,naturalistic_small_text,code,Read the exact four-character alphanumeric code printed in the scene. Answer with only the four characters.,H4N7,
imagegen/005_market_awning_C9P3,imagegen/005_market_awning_C9P3.png,imagegen,naturalistic_small_text,code,Read the exact four-character alphanumeric code printed in the scene. Answer with only the four characters.,C9P3,
imagegen/006_garage_gate_W2F8,imagegen/006_garage_gate_W2F8.png,imagegen,naturalistic_small_text,code,Read the exact four-character alphanumeric code printed in the scene. Answer with only the four characters.,W2F8,
imagegen/007_harbor_crate_B5J6,imagegen/007_harbor_crate_B5J6.png,imagegen,naturalistic_small_text,code,Read the exact four-character alphanumeric code printed in the scene. Answer with only the four characters.,B5J6,
imagegen/008_rooftop_unit_D7S4,imagegen/008_rooftop_unit_D7S4.png,imagegen,naturalistic_small_text,code,Read the exact four-character alphanumeric code printed in the scene. Answer with only the four characters.,D7S4,
imagegen/009_factory_lcd_R4K8,imagegen/009_factory_lcd_R4K8.png,imagegen,naturalistic_small_text,code,Read the exact four-character alphanumeric code printed in the scene. Answer with only the four characters.,R4K8,
imagegen/010_oscilloscope_V9C2,imagegen/010_oscilloscope_V9C2.png,imagegen,naturalistic_small_text,code,Read the exact four-character alphanumeric code printed in the scene. Answer with only the four characters.,V9C2,
imagegen/011_aircraft_panel_G3T7,imagegen/011_aircraft_panel_G3T7.png,imagegen,naturalistic_small_text,code,Read the exact four-character alphanumeric code printed in the scene. Answer with only the four characters.,G3T7,
imagegen/012_boiler_gauge_N8W5,imagegen/012_boiler_gauge_N8W5.png,imagegen,naturalistic_small_text,code,Read the exact four-character alphanumeric code printed in the scene. Answer with only the four characters.,N8W5,
imagegen/013_server_rack_P6D4,imagegen/013_server_rack_P6D4.png,imagegen,naturalistic_small_text,code,Read the exact four-character alphanumeric code printed in the scene. Answer with only the four characters.,P6D4,
imagegen/014_camera_monitor_F2H9,imagegen/014_camera_monitor_F2H9.png,imagegen,naturalistic_small_text,code,Read the exact four-character alphanumeric code printed in the scene. Answer with only the four characters.,F2H9,
imagegen/015_audio_mixer_X7B3,imagegen/015_audio_mixer_X7B3.png,imagegen,naturalistic_small_text,code,Read the exact four-character alphanumeric code printed in the scene. Answer with only the four characters.,X7B3,
imagegen/016_weather_station_S5M8,imagegen/016_weather_station_S5M8.png,imagegen,naturalistic_small_text,code,Read the exact four-character alphanumeric code printed in the scene. Answer with only the four characters.,S5M8,
imagegen/017_train_cab_J9Q6,imagegen/017_train_cab_J9Q6.png,imagegen,naturalistic_small_text,code,Read the exact four-character alphanumeric code printed in the scene. Answer with only the four characters.,J9Q6,
imagegen/018_receipt_table_A7L3,imagegen/018_receipt_table_A7L3.png,imagegen,naturalistic_small_text,code,Read the exact four-character alphanumeric code printed in the scene. Answer with only the four characters.,A7L3,
imagegen/019_library_card_E4R8,imagegen/019_library_card_E4R8.png,imagegen,naturalistic_small_text,code,Read the exact four-character alphanumeric code printed in the scene. Answer with only the four characters.,E4R8,
imagegen/020_clinic_form_U6K2,imagegen/020_clinic_form_U6K2.png,imagegen,naturalistic_small_text,code,Read the exact four-character alphanumeric code printed in the scene. Answer with only the four characters.,U6K2,
imagegen/021_blueprint_note_Y3N7,imagegen/021_blueprint_note_Y3N7.png,imagegen,naturalistic_small_text,code,Read the exact four-character alphanumeric code printed in the scene. Answer with only the four characters.,Y3N7,
imagegen/022_restaurant_menu_L8V4,imagegen/022_restaurant_menu_L8V4.png,imagegen,naturalistic_small_text,code,Read the exact four-character alphanumeric code printed in the scene. Answer with only the four characters.,L8V4,
imagegen/023_parcel_label_Z5C9,imagegen/023_parcel_label_Z5C9.png,imagegen,naturalistic_small_text,code,Read the exact four-character alphanumeric code printed in the scene. Answer with only the four characters.,Z5C9,
imagegen/024_museum_caption_Q2H6,imagegen/024_museum_caption_Q2H6.png,imagegen,naturalistic_small_text,code,Read the exact four-character alphanumeric code printed in the scene. Answer with only the four characters.,Q2H6,
imagegen/025_calendar_note_M9F3,imagegen/025_calendar_note_M9F3.png,imagegen,naturalistic_small_text,code,Read the exact four-character alphanumeric code printed in the scene. Answer with only the four characters.,M9F3,
imagegen/026_warehouse_bin_H7P2,imagegen/026_warehouse_bin_H7P2.png,imagegen,naturalistic_small_text,code,Read the exact four-character alphanumeric code printed in the scene. Answer with only the four characters.,H7P2,
imagegen/027_pharmacy_shelf_C4X8,imagegen/027_pharmacy_shelf_C4X8.png,imagegen,naturalistic_small_text,code,Read the exact four-character alphanumeric code printed in the scene. Answer with only the four characters.,C4X8,
imagegen/028_tool_drawer_R6J3,imagegen/028_tool_drawer_R6J3.png,imagegen,naturalistic_small_text,code,Read the exact four-character alphanumeric code printed in the scene. Answer with only the four characters.,R6J3,
imagegen/029_archive_box_T8D5,imagegen/029_archive_box_T8D5.png,imagegen,naturalistic_small_text,code,Read the exact four-character alphanumeric code printed in the scene. Answer with only the four characters.,T8D5,
imagegen/030_grocery_freezer_B3W7,imagegen/030_grocery_freezer_B3W7.png,imagegen,naturalistic_small_text,code,Read the exact four-character alphanumeric code printed in the scene. Answer with only the four characters.,B3W7,
imagegen/031_parts_cabinet_V5K9,imagegen/031_parts_cabinet_V5K9.png,imagegen,naturalistic_small_text,code,Read the exact four-character alphanumeric code printed in the scene. Answer with only the four characters.,V5K9,
imagegen/032_wine_cellar_D2M6,imagegen/032_wine_cellar_D2M6.png,imagegen,naturalistic_small_text,code,Read the exact four-character alphanumeric code printed in the scene. Answer with only the four characters.,D2M6,
imagegen/033_hardware_pegs_F8Q4,imagegen/033_hardware_pegs_F8Q4.png,imagegen,naturalistic_small_text,code,Read the exact four-character alphanumeric code printed in the scene. Answer with only the four characters.,F8Q4,
imagegen/034_distant_bus_S4Y8,imagegen/034_distant_bus_S4Y8.png,imagegen,naturalistic_small_text,code,Read the exact four-character alphanumeric code printed in the scene. Answer with only the four characters.,S4Y8,
imagegen/035_train_platform_G7L2,imagegen/035_train_platform_G7L2.png,imagegen,naturalistic_small_text,code,Read the exact four-character alphanumeric code printed in the scene. Answer with only the four characters.,G7L2,
imagegen/036_airport_cart_P3N9,imagegen/036_airport_cart_P3N9.png,imagegen,naturalistic_small_text,code,Read the exact four-character alphanumeric code printed in the scene. Answer with only the four characters.,P3N9,
imagegen/037_bicycle_rack_X6C4,imagegen/037_bicycle_rack_X6C4.png,imagegen,naturalistic_small_text,code,Read the exact four-character alphanumeric code printed in the scene. Answer with only the four characters.,X6C4,
imagegen/038_soccer_sideline_K5T7,imagegen/038_soccer_sideline_K5T7.png,imagegen,naturalistic_small_text,code,Read the exact four-character alphanumeric code printed in the scene. Answer with only the four characters.,K5T7,
imagegen/039_kayak_race_W9B3,imagegen/039_kayak_race_W9B3.png,imagegen,naturalistic_small_text,code,Read the exact four-character alphanumeric code printed in the scene. Answer with only the four characters.,W9B3,
imagegen/040_delivery_van_J2R6,imagegen/040_delivery_van_J2R6.png,imagegen,naturalistic_small_text,code,Read the exact four-character alphanumeric code printed in the scene. Answer with only the four characters.,J2R6,
imagegen/041_ferry_deck_A8V5,imagegen/041_ferry_deck_A8V5.png,imagegen,naturalistic_small_text,code,Read the exact four-character alphanumeric code printed in the scene. Answer with only the four characters.,A8V5,
imagegen/042_night_taxi_E6H4,imagegen/042_night_taxi_E6H4.png,imagegen,naturalistic_small_text,code,Read the exact four-character alphanumeric code printed in the scene. Answer with only the four characters.,E6H4,
imagegen/043_lab_vial_U3P7,imagegen/043_lab_vial_U3P7.png,imagegen,naturalistic_small_text,code,Read the exact four-character alphanumeric code printed in the scene. Answer with only the four characters.,U3P7,
imagegen/044_circuit_board_Y8D2,imagegen/044_circuit_board_Y8D2.png,imagegen,naturalistic_small_text,code,Read the exact four-character alphanumeric code printed in the scene. Answer with only the four characters.,Y8D2,
imagegen/045_microscope_slide_L4G9,imagegen/045_microscope_slide_L4G9.png,imagegen,naturalistic_small_text,code,Read the exact four-character alphanumeric code printed in the scene. Answer with only the four characters.,L4G9,
imagegen/046_battery_pack_Z7F3,imagegen/046_battery_pack_Z7F3.png,imagegen,naturalistic_small_text,code,Read the exact four-character alphanumeric code printed in the scene. Answer with only the four characters.,Z7F3,
imagegen/047_server_chip_Q5W8,imagegen/047_server_chip_Q5W8.png,imagegen,naturalistic_small_text,code,Read the exact four-character alphanumeric code printed in the scene. Answer with only the four characters.,Q5W8,
imagegen/048_sterile_pack_M2K6,imagegen/048_sterile_pack_M2K6.png,imagegen,naturalistic_small_text,code,Read the exact four-character alphanumeric code printed in the scene. Answer with only the four characters.,M2K6,
imagegen/049_geology_sample_H9C4,imagegen/049_geology_sample_H9C4.png,imagegen,naturalistic_small_text,code,Read the exact four-character alphanumeric code printed in the scene. Answer with only the four characters.,H9C4,
imagegen/050_cleanroom_case_R3X7,imagegen/050_cleanroom_case_R3X7.png,imagegen,naturalistic_small_text,code,Read the exact four-character alphanumeric code printed in the scene. Answer with only the four characters.,R3X7,
